MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,Age,LastRemod
20,RL,70,11200,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,TA,TA,No,906,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,1,Y,0,0,0,0,0,0,Missing,0,2,WD,Normal,129500,43,43
60,RL,85,11924,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,286,Ex,TA,PConc,Ex,TA,No,998,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,10,Typ,2,3,Y,147,21,0,0,0,0,Missing,0,7,New,Partial,345000,1,0
20,RL,61.83931919,12968,Pave,Missing,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,0,TA,TA,CBlock,TA,TA,No,737,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,1,Y,140,0,0,0,0,0,Missing,0,9,WD,Normal,144000,46,46
20,RL,91,10652,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,306,Gd,TA,PConc,Gd,TA,Av,0,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,3,Y,160,33,0,0,0,0,Missing,0,8,New,Partial,279500,1,0
20,RL,76.89455086,10920,Pave,Missing,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,212,TA,TA,CBlock,TA,TA,No,733,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,1,Y,0,170,0,0,0,0,GdWo,0,5,WD,Normal,157000,48,48
45,RM,51,6120,Pave,Missing,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,7.5,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,BrkTil,TA,TA,No,0,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,2,Y,48,112,0,0,0,0,GdPrv,0,7,WD,Normal,132000,78,6
20,RL,75.54057045,11241,Pave,Missing,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,180,TA,TA,CBlock,TA,TA,No,578,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,2,Y,0,0,0,0,0,0,Missing,0,3,WD,Normal,149000,40,40
90,RL,72,10791,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,Slab,Missing,Missing,Missing,0,0,0,42,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,1,TA,6,Typ,0,2,Y,0,0,0,0,0,0,Missing,0,10,WD,Normal,90000,39,39
20,RL,66,13695,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,TA,TA,No,646,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,2,Y,0,102,0,0,0,0,Missing,0,6,WD,Normal,159000,4,4
20,RL,70,7560,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,0,TA,TA,CBlock,TA,TA,No,504,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,1,Y,0,0,0,0,0,0,MnPrv,0,5,COD,Abnorml,139000,51,44
60,RL,101,14215,Pave,Missing,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,380,Gd,TA,PConc,Ex,TA,Av,0,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,3,Y,240,154,0,0,0,0,Missing,0,11,New,Partial,325300,1,0
45,RM,57,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,PConc,TA,TA,No,0,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,1,N,0,0,0,0,0,0,GdPrv,0,6,WD,Normal,139400,77,57
20,RL,75,9742,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,281,Gd,TA,PConc,Gd,TA,No,0,0,1685.5,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,2,Y,171,159,0,0,0,0,Missing,0,9,WD,Normal,230000,6,6
120,RM,44,4224,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,0,TA,TA,PConc,Gd,TA,No,840,0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,2,Y,100,110,0,0,0,0,Missing,0,6,WD,Normal,129900,31,31
20,RL,62.63992981,8246,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7.5,Gable,CompShg,Plywood,Plywood,0,TA,Gd,CBlock,TA,TA,Mn,188,0,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,1,Y,406,90,0,0,0,0,MnPrv,0,5,WD,Normal,154000,42,9
20,RL,110,14230,Pave,Missing,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,640,Gd,TA,PConc,Gd,TA,No,0,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,3,Y,0,56,0,0,0,0,Missing,0,7,WD,Normal,256300,2,2
20,RL,60,7200,Pave,Missing,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,CBlock,TA,TA,Mn,234,0,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,0,1,0,3,1,Gd,5,Typ,0,2,Y,222,32,0,0,0,0,Missing,0,5,WD,Normal,134800,59,10
20,RL,98,11478,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,200,Gd,TA,PConc,Ex,TA,No,1218,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,3,Y,0,50,0,0,0,0,Missing,0,5,WD,Normal,306000,3,2
20,RL,47,16321,Pave,Missing,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,TA,TA,Gd,1277,0,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,1,Y,288,170,0,0,0,0,Missing,0,12,WD,Normal,207500,49,9
30,RM,60,6324,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,TA,TA,No,0,0,520,520,GasA,Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,1,Y,49,0,0,0,0,0,Missing,0,5,WD,Normal,68500,81,58
70,C (all),50,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,0,TA,Fa,BrkTil,TA,TA,No,0,0,649,649,GasA,TA,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,1,N,0,54,0,0,0,0,MnPrv,0,7,WD,Normal,40000,88,58
20,RL,70.58882146,8544,Pave,Missing,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,TA,TA,No,0,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,1,Y,0,65,0,0,0,0,MnPrv,0,6,WD,Normal,149350,42,2
20,RL,85,11049,Pave,Missing,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Ex,TA,Av,0,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,2,Y,0,30,0,0,0,0,Missing,0,1,WD,Normal,179900,1,1
20,RL,70,10552,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,0,TA,TA,CBlock,TA,TA,No,1018,0,380,1398,GasA,Gd,Y,SBrkr,1700,0,0,1700,0,0,1,1,4,1,Gd,6,Typ,1,2,Y,0,38,0,0,0,0,Missing,0,4,WD,Normal,165500,51,51
120,RL,60,7313,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,246,Ex,TA,PConc,Ex,TA,No,1153,0,408,1561,GasA,Ex,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,2,Y,203,47,0,0,0,0,Missing,0,8,WD,Normal,277500,2,2
60,RL,108,13418,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,132,Gd,TA,PConc,Ex,TA,Av,0,0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,3,Y,113,32,0,0,0,0,Missing,0,9,WD,Normal,309000,2,1
20,RL,112,10859,Pave,Missing,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Gd,TA,No,0,0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,2,Y,392,64,0,0,0,0,Missing,0,6,WD,Normal,145000,15,14
20,RL,74,8532,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,650,TA,TA,CBlock,TA,TA,No,1213,0,84,1297,GasA,Gd,Y,SBrkr,1297,0,0,1297,0,0,1,0,3,1,TA,5,Typ,1,2,Y,0,0,0,0,0,0,Missing,0,10,WD,Normal,153000,55,19
20,RL,68,7922,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,0,TA,Gd,CBlock,TA,TA,No,731,0,326,1057,GasA,TA,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,1,Y,0,52,0,0,0,0,Missing,0,1,WD,Abnorml,109000,57,3
90,RL,65,6040,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,0,TA,TA,PConc,Missing,Missing,Missing,0,0,0,42,GasA,TA,N,FuseP,1152,0,0,1152,0,0,2,0,2,1,Fa,6,Typ,0,0,N,0,0,0,0,0,0,Missing,0,6,WD,AdjLand,82000,53,53
20,RL,84,8658,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,101,TA,TA,CBlock,TA,TA,No,643,0,445,1088,GasA,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,2,Y,0,138,0,0,0,0,GdWo,0,12,WD,Abnorml,160000,41,41
20,RL,115,16905,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,0,TA,Gd,CBlock,TA,TA,Gd,967,0,383,1350,GasA,Gd,Y,SBrkr,1328,0,0,1328,0,0,1,1,2,1,TA,5,Typ,2,1,P,0,104,0,0,0,0,Missing,0,7,WD,Normal,170000,48,48
85,RL,65.94712376,9180,Pave,Missing,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,Gd,TA,Av,747,0,0,840,GasA,Gd,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,2,Y,240,0,0,0,0,0,MnPrv,0,12,WD,Normal,144000,24,24
20,RL,73.98520112,9200,Pave,Missing,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,0,TA,TA,CBlock,Gd,TA,Av,280,0,167,938,GasA,TA,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,1,Y,145,0,0,0,0,0,MnPrv,0,7,WD,Normal,130250,33,28
20,RL,70,7945,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,0,TA,TA,CBlock,TA,TA,No,179,0,465,1150,GasA,Ex,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,1,Y,0,0,0,0,0,0,Missing,0,5,WD,Normal,141000,47,47
120,RL,61,7658,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,412,Ex,TA,PConc,Ex,TA,No,456,0,1296,1752,GasA,Ex,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,2,Y,196,82,0,0,0,0,Missing,0,2,WD,Normal,319900,5,5
50,RL,48,12822,Pave,Missing,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Ex,TA,No,1351,0,83,1434,GasA,Ex,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,2,Y,168,43,0,0,0,0,Missing,0,8,WD,Abnorml,239686,6,6
20,FV,84,11096,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,Av,24,0,1632,1656,GasA,Ex,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,3,Y,0,146,0,0,0,0,Missing,0,7,WD,Normal,249700,1,1
145,RM,33,4456,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,TA,TA,No,0,0,736,736,GasA,Gd,Y,SBrkr,736,716,0,1452,0,0,2,0,2,1,TA,8,Typ,0,0,N,0,0,0,0,0,0,Missing,0,6,New,Partial,113000,89,1
20,RL,66,7742,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,TA,TA,No,763,0,192,955,GasA,Ex,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,1,Y,0,0,0,0,0,0,MnPrv,0,1,WD,Normal,127000,41,41
60,RL,74.36657218,13869,Pave,Missing,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Gd,TA,Av,182,0,612,794,GasA,Gd,Y,SBrkr,794,676,0,1470,0,0,2,0,3,1,TA,6,Typ,0,2,Y,0,75,0,0,0,0,Missing,0,7,WD,Normal,177000,10,10
50,RM,52,6240,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,PConc,TA,TA,No,0,0,816,816,GasA,TA,Y,SBrkr,816,0,0,1176,0,0,1,0,3,1,TA,6,Typ,1,2,Y,112,0,0,0,0,0,MnPrv,0,9,WD,Normal,114500,72,56
90,RM,110,8472,Grvl,Missing,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,0,Fa,TA,CBlock,Gd,TA,Gd,104,0,0,816,GasA,TA,N,SBrkr,816,0,0,816,1,0,1,0,2,1,TA,5,Typ,0,2,Y,106,0,0,0,0,0,Missing,0,5,WD,Normal,110000,47,47
20,RL,68,17673.5,Pave,Missing,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,Gable,WdShngl,WdShing,Wd Shng,0,Gd,TA,CBlock,Ex,TA,Gd,1780.625,0,32,1842,GasA,Gd,Y,SBrkr,1842,0,0,1842,2,0,0,1,0.5,1,Gd,5,Typ,1,3,Y,420,72,0,0,0,0,Missing,0,11,WD,Normal,385000,25,19
80,RL,60,7134,Pave,Missing,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,TA,TA,No,384,0,0,384,GasA,TA,Y,SBrkr,1360,0,0,1360,0,0,1,0,3,1,TA,6,Min1,1,2,Y,0,50,0,0,0,0,MnPrv,0,2,WD,Normal,130000,52,52
20,RL,100,10175,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,HdBoard,Plywood,272,TA,TA,CBlock,TA,TA,No,490,0,935,1425,GasA,Gd,Y,SBrkr,1425,0,0,1425,0,0,2,0,3,1,TA,7,Typ,1,2,Y,0,0,0,0,0,0,Missing,0,7,WD,Normal,180500,44,44
145,FV,24,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,456,Gd,TA,PConc,Gd,TA,No,649,0,321,970,GasA,Ex,Y,SBrkr,983,756,0,1739,1,0,2,1,3,1,Gd,7,Typ,0,2,Y,115,0,0,0,0,0,Missing,0,8,WD,Abnorml,172500,10,9
60,RL,89,11645,Pave,Missing,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Gd,TA,No,0,0,860,860,GasA,Ex,Y,SBrkr,860,860,0,1720,0,0,2,1,3,1,Gd,7,Typ,0,2,Y,0,70,0,0,0,0,Missing,0,8,WD,Normal,196500,2,2
60,RL,66,13682,Pave,Missing,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,Hip,CompShg,VinylSd,VinylSd,1031,Ex,TA,PConc,Ex,TA,Gd,0,0,1410,1410,GasA,Ex,Y,SBrkr,1426,1519,0,2747.625,0,0,3,1,3,1,Gd,10,Typ,1,3,Y,192,0,0,0,0,0,Missing,0,10,New,Partial,438780,0,0
20,RL,60,7200,Pave,Missing,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,TA,TA,Av,632,0,148,780,GasA,Ex,Y,SBrkr,780,0,0,780,0,0,1,0,2,1,TA,4,Typ,0,1,Y,196,0,0,0,0,0,MnPrv,0,1,WD,Normal,124900,36,36
20,RL,63,13072,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Gd,TA,No,941,0,217,1158,GasA,Ex,Y,SBrkr,1158,0,0,1158,1,0,1,1,3,1,Gd,5,Typ,0,2,Y,0,50,0,0,0,0,Missing,0,5,New,Partial,158000,2,2
